"problemName","problemType","numCustomers","UAVspeed","UAVendurance","numTrucks","numUAVs","solverType","heuristicSwitch","timeLimit","initialHeuristicSoln","isOptimal","objVal","numTruckCust","numUAVcust","runTime"
"20140813T111722","small",10,NA,30,3,6,"BNP",0,1800,74.6509,1,68.4439,9,2,61.617
"20140813T111722","small",10,NA,30,3,6,"BNP",1,1800,74.6509,0,68.4439,9,2,0.183
"20140813T111733","small",10,NA,30,1,2,"DFJ",NA,1800,NA,1,107.899,8,2,0.031
"20140813T111733","small",10,NA,30,1,2,"BNP",0,1800,107.899,1,107.899,8,2,0.363
"20140813T111733","small",10,NA,30,1,2,"BNP",1,1800,107.899,0,107.899,8,2,0.004
"20140813T111733","small",10,NA,30,1,4,"DFJ",NA,1800,NA,1,107.899,8,2,0.039
"20140813T111733","small",10,NA,30,1,4,"BNP",0,1800,107.899,1,107.899,7,3,0.388
"20140813T111733","small",10,NA,30,1,4,"BNP",1,1800,107.899,0,107.899,7,3,0.01
"20140813T111733","small",10,NA,30,1,6,"DFJ",NA,1800,NA,1,107.899,8,2,0.034
"20140813T111733","small",10,NA,30,1,6,"BNP",0,1800,107.899,1,107.899,7,3,0.299
"20140813T111733","small",10,NA,30,1,6,"BNP",1,1800,107.899,0,107.899,7,3,0.003
"20140813T111733","small",10,NA,30,2,2,"DFJ",NA,1800,NA,1,74.367,9,1,1.883
"20140813T111733","small",10,NA,30,2,2,"BNP",0,1800,78.207,1,74.367,10,2,0.45
"20140813T111733","small",10,NA,30,2,2,"BNP",1,1800,78.207,0,74.367,10,2,0.015
"20140813T111733","small",10,NA,30,2,4,"DFJ",NA,1800,NA,1,74.367,10,0,0.774
"20140813T111733","small",10,NA,30,2,4,"BNP",0,1800,78.207,1,74.367,10,0,1.137
"20140813T111733","small",10,NA,30,2,4,"BNP",1,1800,78.207,0,74.367,10,0,0.005
"20140813T111733","small",10,NA,30,2,6,"DFJ",NA,1800,NA,1,74.367,10,0,1.19
"20140813T111733","small",10,NA,30,2,6,"BNP",0,1800,78.207,1,74.367,10,0,0.366
"20140813T111733","small",10,NA,30,2,6,"BNP",1,1800,78.207,0,74.367,10,0,0.007
"20140813T111733","small",10,NA,30,3,2,"DFJ",NA,1800,NA,1,70.207,10,0,9.344
"20140813T111733","small",10,NA,30,3,2,"BNP",0,1800,78.207,1,70.207,7,3,0.274
